Name,Count
shit,10251
miss,9709
damn,7767
fuck,6735
hard,5886
tired,5421
hell,5259
crazy,5143
:/,4795
die,4660
lost,4324
wrong,4295
bitch,4236
sad,4062
sick,3984
suck,3896
fall,3870
ugh,3870
fucking,3626
problem,3513
break,3396
missed,3369
cold,3292
mad,3281
hurt,3198
stupid,3093
weird,2935
dead,2900
bored,2767
cry,2714
kill,2505
death,2438
issue,2127
fat,2059
worst,2043
lie,2002
pain,1961
drunk,1915
crap,1857
lose,1852
cancer,1840
smell,1756
dark,1721
stuck,1711
joke,1698
fail,1626
worry,1570
poor,1541
hang,1502
slow,1472
broke,1458
fell,1454
jam,1452
scared,1419
died,1381
fake,1346
jealous,1310
lazy,1293
boring,1292
worse,1278
rip,1263
wild,1256
loss,1237
scary,1184
ugly,1176
annoying,1173
attack,1160
fear,1138
killed,1114
dumb,1091
lame,1086
breaking,1082
falling,1073
trouble,1064
mess,1062
dick,1050
chill,1047
fml,1041
dirty,1036
broken,1016
horrible,1016
headache,975
mistake,970
blow,968
loud,960
killing,958
blame,951
trick,949
doubt,940
crash,916
monster,914
burn,907
smoke,903
cheap,896
freaking,889
afraid,880
fool,874
confused,867
evil,858
excuse,856
strange,856
waste,845
insane,835
silly,829
angry,829
bug,826
crack,820
shame,816
dying,814
idiot,808
stress,791
cloud,766
losing,763
terrible,762
killer,758
bomb,755
sore,754
risk,728
lack,725
upset,715
hater,712
zombie,711
heck,693
addicted,689
failed,688
shake,676
sin,672
warning,668
nasty,667
ridiculous,663
creepy,657
blah,654
freak,652
limit,651
gross,635
bloody,632
worried,626
gossip,618
crush,612
odd,611
dope,606
nervous,602
difficult,602
fault,598
loser,597
annoyed,594
awful,588
lonely,588
slowly,579
failure,575
knock,575
alarm,575
crime,573
blind,568
devil,566
strike,546
lying,544
expensive,543
scream,542
burning,538
grind,537
error,535
jerk,532
exhausted,529
injury,528
punch,523
bullshit,520
recession,517
protest,513
steal,508
skinny,503
noise,499
guilty,499
freezing,497
mar,485
stole,481
ignore,478
enemy,475
regret,472
loose,471
awkward,471
scare,463
pig,460
murder,459
crisis,459
weed,457
refuse,456
rude,452
shark,449
nightmare,449
fried,446
stranger,445
disappointed,445
trash,444
wasted,443
mystery,442
weak,442
debt,438
badly,435
unfortunately,430
impossible,430
ruin,427
rumor,427
bother,426
rough,424
virus,415
sneak,413
tank,409
whore,409
sadly,405
limited,404
fever,394
slap,389
hum,387
cloudy,386
scratch,386
hype,386
bastard,385
dangerous,381
racist,377
shock,375
negative,375
pretend,375
punk,374
messed,371
sucked,369
suicide,367
wack,366
conservative,364
unknown,364
panic,364
hated,361
intense,360
shocked,356
delay,355
emergency,350
complain,350
suspect,347
complex,346
bum,345
liar,340
wicked,335
damage,332
bust,330
hurting,329
drag,327
rape,327
illegal,326
crappy,323
ghetto,322
prison,322
dust,320
pan,319
anger,318
frozen,317
split,317
lemon,315
curse,314
disgusting,311
smack,308
junk,308
depressed,307
sue,307
threat,305
madden,304
hung,300
dislike,299
depressing,298
cheat,297
desperate,297
screwed,296
bump,296
err,294
criminal,294
destroy,291
painful,289
fallen,288
ruined,286
fails,286
useless,286
revenge,284
hack,283
retarded,278
complaining,276
naughty,276
din,276
concern,276
ache,273
plot,272
rage,272
madness,269
hating,267
knife,266
wasting,265
lied,264
object,264
randomly,261
disaster,260
struggle,259
danger,258
yawn,257
critical,256
disagree,254
bash,253
dirt,253
cheating,252
pathetic,250
complicated,249
myth,249
sour,248
twist,247
abuse,247
suffering,246
burned,245
leak,245
beware,245
concerned,243
frustrated,243
jobless,242
pointless,241
false,241
reject,241
smash,240
confusing,240
scam,239
fiction,235
slut,232
stink,231
breakdown,231
stolen,231
vice,230
desert,229
cave,229
rail,229
suffer,226
sink,225
trap,225
torture,225
garbage,219
