Name,Count
shit,2349
miss,2098
damn,1757
fuck,1636
hard,1268
crazy,1215
tired,1204
hell,1195
die,1162
:/,1141
lost,1025
bitch,989
sick,970
fall,958
wrong,940
):,913
problem,856
sad,845
fail,842
ugh,835
suck,798
cold,780
fucking,759
mad,759
break,704
hurt,695
dead,674
stupid,663
missed,660
bored,601
kill,583
weird,575
cry,564
death,530
issue,517
worst,472
lie,472
pain,456
cheap,444
drunk,406
smell,406
crap,400
hang,400
dark,399
poor,374
fat,371
slow,370
worry,360
joke,356
stuck,353
broke,345
wild,345
lose,345
jam,322
trouble,316
died,315
crash,314
scared,311
chill,307
dirty,298
jealous,297
fell,294
fake,291
rip,290
cloudy,285
falling,280
fear,279
lazy,279
cancer,278
worse,272
ugly,263
annoying,258
mess,255
broken,254
boring,249
scary,248
mistake,246
cloud,245
dumb,241
killed,237
attack,234
killing,230
dick,225
trick,221
loose,217
fool,216
confused,216
afraid,216
evil,213
monster,213
angry,211
loud,208
shame,205
smoke,204
blame,203
doubt,203
loss,200
bug,200
fml,200
lame,196
blow,196
breaking,193
horrible,193
terrible,192
silly,190
headache,188
crack,187
killer,186
bomb,185
limit,183
excuse,179
lack,177
blah,177
dying,176
freak,176
strange,176
waste,175
upset,171
jerk,171
stress,167
sore,166
addicted,165
lonely,164
creepy,158
idiot,156
nasty,156
losing,151
insane,150
burn,150
shake,149
worried,148
freaking,145
heck,144
sin,144
dope,139
mystery,139
warning,138
gross,136
devil,135
awful,135
error,135
wreck,133
odd,132
difficult,131
strike,131
nervous,130
gossip,129
steal,129
ridiculous,129
punch,128
shark,127
recession,126
hater,125
bloody,125
exhausted,124
risk,124
scream,123
knock,123
zombie,123
tank,123
failure,121
crush,121
failed,121
rumor,120
fault,120
crisis,118
alarm,117
debt,117
noise,116
lying,115
grind,114
annoyed,113
shock,113
blind,112
weed,111
weak,109
loser,109
bullshit,109
trash,109
crime,109
murder,107
fried,106
negative,105
rude,104
awkward,104
guilty,104
wack,103
ignore,102
pig,102
expensive,101
unfortunately,101
impossible,100
enemy,99
scare,98
ruin,97
dangerous,96
badly,96
wasted,95
protest,95
panic,95
fever,94
wicked,92
nightmare,92
bash,92
punk,92
hated,91
freezing,91
split,91
skinny,91
regret,91
burning,90
scratch,90
bum,90
sneak,89
bother,89
refuse,89
messed,89
disappointed,88
lemon,87
sucked,87
rough,85
complain,85
concern,84
intense,83
slowly,83
emergency,83
delay,83
liar,82
pan,82
suicide,81
slap,81
hung,81
virus,80
hype,80
stole,80
whore,80
ghetto,80
frozen,78
limited,78
bastard,76
struggle,76
damage,76
rape,74
anger,74
drag,74
suspect,74
bump,74
threat,73
mar,73
bust,73
pretend,73
sadly,72
shocked,72
rage,70
injury,68
hating,67
depressed,67
complaining,66
ache,66
complex,66
hurting,66
false,65
ignorance,65
stranger,64
cheat,64
curse,64
scam,64
frustrated,64
twist,63
naughty,63
desperate,63
plot,63
danger,63
painful,63
concerned,63
disgusting,62
junk,62
lied,62
disagree,62
vice,62
trap,62
pathetic,61
dust,61
fallen,61
unknown,61
illegal,60
burned,60
cheating,59
randomly,59
offensive,59
retarded,59
prison,59
depressing,58
useless,58
delayed,58
hack,58
conservative,58
smack,57
funky,57
disaster,57
stolen,56
madness,56
sack,55
;(,55
revenge,55
dilemma,55
obnoxious,55
racist,55
complicated,55
knife,54
crashed,54
crappy,54
addict,53
sue,53
madden,53
bitter,53
screwed,53
criminal,53
messy,53
rant,52
reject,52
rocky,52
fails,52
blunt,52
smash,51
twisted,51
err,51
dirt,50
freeze,50
depression,50
destroy,50
stealing,50
parody,49
cave,48
bleeding,48
thug,48
rail,48
terror,48
creep,48
garbage,48
allergy,48
myth,48
unexpected,48
stink,47
fiction,47
leak,47
selfish,47
rubbish,46
shocking,46
beware,46
worn,46
ashamed,46
struggling,46
ruined,46
abuse,45
warped,45
irony,45
embarrassing,45
ignorant,45
yawn,45
retreat,45
darkness,45
suffer,45
clash,44
tout,44
deny,44
torrent,44
chaos,44
sour,43
damned,43
severe,43
bothered,43
sober,43
sucker,43
desert,42
challenging,42
ripped,42
sob,42
suffering,42
cruel,42
bizarre,42
nonsense,42
fraud,41
unsure,41
confusing,41
torture,41
dizzy,41
desperately,41
boycott,41
sink,41
critical,40
dislike,40
brutal,40
worrying,40
disturbing,40
friggin,39
unusual,39
critic,39
loses,39
annoy,39
rival,39
hum,39
demon,39
din,38
dump,38
failing,37
sweaty,37
stall,37
urgent,37
confession,37
chore,37
unhappy,37
messing,37
deadly,37
frustration,37
invisible,37
frustrating,36
hoax,36
anxious,36
scar,36
cracked,36
itchy,36
racism,36
cheesy,36
sickness,36
slut,36
explode,35
beg,35
assault,35
toll,35
distraction,35
ironic,35
syndrome,35
crowded,35
dull,35
tension,35
gripe,35
retard,35
fist,35
uncomfortable,35
inglorious,35
wound,34
paranoid,34
boredom,34
begging,34
isolated,34
sticky,34
miserable,34
irritated,34
conflict,34
anxiety,33
complaint,33
annoys,33
insanity,33
cranky,33
unable,33
weakness,33
drunken,33
slave,33
lag,33
toxic,32
fuzzy,32
sarcasm,32
trapped,32
disorder,32
chilly,32
cheated,32
propaganda,32
wasting,32
gloomy,32
doom,32
dire,32
bully,32
furious,32
struck,31
flaw,31
utterly,31
sap,31
fallout,31
spoil,31
collapse,31
illness,31
numb,31
poison,31
disgusted,31
pity,31
mashed,31
insult,31
stressful,31
difficulty,31
cunt,31
penalty,30
strictly,30
object,30
mistaken,30
violent,30
disappointing,30
spoiled,30
unbelievable,30
mysterious,30
disappointment,29
woe,29
filthy,29
brat,29
gasp,29
bent,29
decline,29
resistance,29
unfortunate,29
clueless,28
choke,28
unnecessary,28
stupidity,28
breakdown,28
crushed,28
infection,28
symptom,28
aching,28
crashing,28
terribly,28
overrated,28
swollen,28
bruise,28
strangely,28
warned,27
dumped,27
ridiculously,27
pointless,27
addicting,27
scandal,27
temper,27
prick,27
bleed,27
cramp,27
confusion,27
sneaky,27
radical,27
prisoner,27
tease,27
louder,27
hectic,26
ding,26
humid,26
orphan,26
idle,26
sting,26
grumpy,26
tragedy,26
fierce,26
slower,26
drained,26
corrupt,26
greedy,25
infected,25
vomit,25
smelling,25
moron,25
cheater,25
vanity,25
fudge,25
sued,25
boiling,24
criticism,24
chatter,24
bitchy,24
hatred,24
itch,24
stunt,24
overwhelmed,24
restless,24
cuss,24
bumped,24
assassin,24
denied,24
scariest,23
deaf,23
stereotype,23
mist,23
fatty,23
inappropriate,23
faint,23
gangster,23
flirt,23
vent,23
moody,23
lacking,23
misery,23
noisy,23
outrageous,23
hysterical,23
irritating,23
corruption,23
dread,23
opposition,22
immature,22
jealousy,22
smelly,22
opponent,22
foolish,22
joker,22
strict,22
guilt,22
darker,22
craziness,22
squash,22
frown,22
goon,22
controversial,22
smelled,22
sarcastic,22
procrastination,22
passive,22
insanely,22
biting,21
stab,21
vague,21
ugliest,21
unemployed,21
fatal,21
sadness,21
irrelevant,21
oddly,21
infamous,21
foul,21
conspiracy,21
bumping,21
punishment,21
rogue,21
tragic,21
runaway,21
plea,21
flake,21
midget,21
shady,21
disabled,21
tiring,21
uprising,21
destruction,20
absence,20
growl,20
glitch,20
belated,20
whine,20
mania,20
impatient,20
apocalypse,20
obese,20
neglected,20
obstacle,20
drain,20
aggressive,20
drowning,20
puppet,20
reckless,20
poorly,20
rejected,19
absurd,19
hypocrite,19
grief,19
dent,19
disappoint,19
downside,19
fragile,19
threatening,19
stubborn,19
haunting,19
shortage,19
lure,19
mock,19
bugging,19
allergic,19
unbelievably,19
pimple,19
dusty,19
downhill,19
worthless,19
douchebag,19
grudge,18
