Name,Count
like,12872
love,10755
good,8781
:),8555
work,5134
great,4487
right,4201
haha,4147
best,3866
well,3829
better,2745
happy,2577
ya,2492
movie,2333
fun,2160
miss,2098
nice,2012
awesome,1890
wow,1858
<3,1847
kid,1820
hahaha,1814
cool,1782
thank,1768
ready,1594
:p,1584
baby,1525
top,1521
sorry,1469
amazing,1360
funny,1274
xd,1129
:-),1113
(:,996
sweet,928
support,927
favorite,912
excited,905
enough,876
yay,876
=),845
glad,830
enjoy,819
super,791
wonder,780
interesting,716
fine,638
welcome,625
easy,610
perfect,584
loved,581
smile,575
luck,549
worth,538
fair,497
hahahaha,492
clean,463
fast,457
lovely,438
peace,408
d:,407
lucky,365
holy,360
hero,359
success,354
loving,346
trust,345
award,344
important,342
hug,341
lead,338
liked,329
fresh,328
hilarious,322
safe,317
wonderful,313
winner,310
greatest,309
=],306
proud,301
woo,288
defeated,287
strong,284
angel,277
smart,269
classic,267
gold,263
enjoying,260
worked,255
clear,243
magic,243
win,242
positive,242
fantastic,241
joy,241
fav,238
beauty,238
grand,234
rich,228
prize,226
appreciate,226
helping,224
warm,222
enjoyed,218
celebrate,210
excellent,208
happiness,205
creative,202
heaven,200
respect,199
wise,199
brilliant,197
merry,196
lover,196
promise,195
favor,194
exciting,194
popular,192
benefit,192
modern,191
cheer,189
delicious,188
quiet,188
tough,187
bless,186
famous,182
genius,182
master,182
skill,177
faith,176
gorgeous,174
married,171
healthy,167
swift,167
fave,165
prefer,165
whoa,164
incredible,164
gain,163
easier,162
achievement,161
talent,160
winning,159
blessing,152
bright,151
golden,149
recommend,149
honest,149
reform,149
freedom,147
honor,145
adorable,143
successful,138
idol,137
faster,137
thankful,137
progress,136
pure,135
rapid,134
congratulation,131
significant,129
helped,128
glee,128
correct,127
inspiration,127
fame,126
shine,124
clearly,122
goodness,122
patient,122
guarantee,120
cure,120
productive,118
leading,117
fortune,116
powerful,115
hottest,115
champion,114
friendly,114
feat,113
effective,113
pleasure,111
favorited,110
wisdom,109
useful,108
advantage,107
marry,105
ftw,105
rofl,105
improve,103
grace,102
willing,102
fancy,101
impressed,100
celebration,100
saint,98
calm,97
passion,97
soft,95
boom,95
humor,95
victory,95
praise,92
mighty,92
trump,88
liking,88
decent,88
boost,87
dedicated,87
fabulous,87
recovery,86
coolest,85
pride,84
afford,83
brave,82
incredibly,81
grateful,81
appreciated,80
dawn,80
bliss,78
silent,78
solid,77
hooray,76
bonus,75
miracle,75
relief,75
precious,74
protect,74
defeat,74
talented,73
smooth,73
confidence,73
supporting,73
recommendation,72
proper,72
premier,71
comfort,71
champ,71
smiling,70
properly,69
led,68
supporter,68
impressive,67
comfortable,67
helpful,66
darling,66
compliment,65
patience,65
marvel,65
entertaining,64
glory,64
awsome,63
envy,62
clever,62
recommended,61
cheaper,60
amazed,60
reward,60
portable,60
ideal,60
handy,59
inspiring,58
stronger,58
