Name,Count
lol,67965
shit,11337
bad,7701
problem,7373
damn,6954
:/,6654
fuck,6652
silly,6089
hate,5512
miss,5495
hard,5301
bitch,5245
funny,4873
sorry,4653
hell,4228
dead,4013
:(,3971
crazy,3805
fall,3725
death,3555
lost,3530
mad,3499
wrong,3405
tired,2757
delay,2700
killed,2560
suck,2429
break,2421
kill,2382
missed,2322
attack,2269
sick,2163
lose,2154
fucking,2079
cold,1987
die,1982
hurt,1980
sad,1960
dick,1958
fat,1953
issue,1951
lie,1889
ugh,1825
cry,1801
stupid,1699
loss,1605
joke,1541
drunk,1516
poor,1513
fear,1501
broke,1492
cancer,1437
recession,1421
slow,1405
crash,1353
fake,1349
evil,1335
bored,1334
worry,1332
pain,1323
died,1321
protest,1317
dark,1269
broken,1267
wild,1251
worst,1242
ugly,1241
trouble,1220
trick,1219
debt,1208
weird,1192
breaking,1176
scared,1104
murder,1094
crime,1084
excuse,1068
injury,1066
crap,1059
killing,1034
smoke,1034
dirty,1012
risk,1012
hang,1007
fool,1001
doubt,1000
smell,995
strike,972
failure,955
worse,953
blow,952
dumb,937
fail,935
bomb,934
loud,933
crappy,931
prison,929
suspect,925
blame,924
killer,924
cheap,917
afraid,905
mistake,875
stuck,869
fell,868
nasty,864
waste,853
mess,836
gossip,834
warning,827
burn,816
knock,811
shake,783
crack,770
freak,737
confused,732
chill,731
losing,726
crisis,719
jealous,712
hater,698
threat,688
conservative,687
steal,679
guilty,679
limit,676
suicide,672
lame,670
dangerous,669
rip,665
shame,658
scary,657
skinny,657
stress,651
weed,651
mystery,650
rape,633
lazy,626
falling,621
dying,619
cloud,614
idiot,610
disaster,608
struggle,606
boring,602
enemy,600
angry,599
sue,595
strange,580
upset,580
negative,576
embarrassingly,575
jam,570
worried,564
insane,557
racist,554
illegal,550
lack,547
devil,538
bloody,534
fault,531
wack,526
concern,523
bug,522
annoying,516
loose,512
rumor,511
blind,510
dope,510
horrible,510
naughty,503
unknown,493
toll,492
jerk,490
scream,482
crush,480
sin,478
torture,477
lying,475
refuse,472
slap,462
addicted,460
monster,460
punch,456
weak,456
difficult,456
emergency,455
clash,455
abuse,453
panic,451
ignore,451
unbelievable,451
scare,444
limited,439
terror,438
failed,435
loser,432
burning,426
headache,426
bust,424
heck,422
error,421
shock,420
lemon,420
zombie,417
criminal,416
stranger,406
fraud,405
loses,404
bullshit,403
opposition,402
terrible,402
prisoner,400
damage,399
plot,396
regret,395
split,393
rail,390
wasted,389
anger,388
mar,387
affliction,387
tank,385
symptom,384
trash,382
sued,381
expensive,380
blah,380
slowly,380
tension,378
scam,377
rude,373
shark,373
err,372
stunt,372
whore,371
hype,366
vice,363
fallen,363
alarm,358
twist,357
ridiculous,356
danger,356
odd,355
challenging,352
noise,351
reject,350
lonely,349
cheating,348
cheat,348
slut,348
liar,347
virus,343
pig,328
garbage,327
critic,326
rival,320
failing,320
impossible,320
myth,318
disabled,315
frustrated,314
rough,314
sneak,312
curse,311
gross,310
fatal,308
complain,308
ghetto,307
nightmare,306
stole,306
complaint,305
assault,304
shocked,303
addict,298
grind,298
racism,297
bother,296
bump,293
thug,293
false,293
denies,291
shrug,290
mock,289
trap,288
stolen,287
ugliest,286
fails,285
urgent,285
freaking,285
bum,283
nervous,281
complex,281
scandal,277
offensive,276
badly,275
sadly,274
tease,274
awful,273
smash,272
critical,271
depression,270
decline,269
suffering,268
cracked,267
disagree,267
deadly,266
ruin,266
messed,264
fried,263
confession,262
dust,261
warned,259
punk,258
dirt,258
plea,258
beware,257
unfortunately,257
desperate,257
knife,256
bastard,256
disappointed,255
rage,254
hating,254
madness,253
slave,250
revenge,250
congestion,248
complicated,248
desert,248
denied,247
drag,245
sink,244
fatigue,243
concerned,243
sucked,241
creepy,240
pretend,238
jobless,238
struggling,238
struck,238
sore,236
penalty,235
smack,235
freezing,234
crashed,233
dump,232
hack,229
fiction,228
delayed,225
greedy,225
scratch,224
invisible,224
leak,224
conspiracy,223
hated,223
collapse,223
chaos,222
mist,221
raped,220
ding,220
dispute,219
stealing,219
bash,219
stink,218
ignorant,214
cave,213
deny,212
pan,212
rant,212
fever,211
violent,211
passive,210
frozen,209
cunt,209
infection,208
suffer,207
blunt,206
sober,205
controversial,204
object,202
spank,201
defensive,201
destroy,201
wound,199
syndrome,199
corruption,197
worrying,196
hum,195
boycott,195
delusion,194
lied,193
twisted,193
junk,192
cloudy,192
burned,192
harm,191
criticism,191
conflict,189
painful,189
rejected,187
mysterious,186
gasp,186
controversy,186
yawn,183
hung,183
radical,182
randomly,181
selfish,181
disorder,180
dislike,179
bitter,178
darkness,178
poverty,175
avalanche,174
depressed,173
bully,172
unusual,172
tragedy,171
violation,171
complaining,170
unable,170
anxiety,169
freeze,169
screwed,168
pathetic,168
explode,167
madden,167
wicked,166
resistance,166
fist,165
exhausted,165
ignorance,165
intense,165
hurting,164
confusion,164
opponent,163
insult,162
choke,161
creep,161
illness,160
funky,160
shocking,160
nonsense,159
woe,159
retreat,158
scrap,157
sucker,157
rampage,157
illusion,157
chronic,156
retarded,155
bizarre,154
vanity,153
foul,153
trapped,153
surrender,152
sack,151
stupidity,151
threesome,149
burden,147
useless,147
terrorism,146
disgusting,145
annoyed,144
difficulty,144
poison,144
pout,144
cheated,144
toxic,144
confusing,143
messy,143
ashamed,141
gangster,141
breakdown,141
wasting,141
mediocrity,140
impending,139
flaw,139
fierce,139
awkward,138
flirt,138
worn,138
unexpected,137
beg,137
deaf,136
ruined,136
wreck,135
unemployed,134
sour,133
explosive,133
drunken,133
demon,132
sting,131
rocky,130
suspicious,130
cruel,129
unlikely,129
allegation,128
offender,128
propaganda,128
confuse,128
confess,128
frustration,127
crowded,126
suffered,125
savage,124
severe,124
goon,123
hatred,123
dumped,123
oppression,123
orphan,123
excessive,122
strictly,121
refused,121
miserable,120
harsh,119
joker,118
distraction,118
dilemma,118
pale,116
fatally,116
pointless,116
biting,116
brutal,115
cheater,115
hostage,115
drain,114
rusty,114
denial,114
threaten,114
ache,113
insanity,113
disturbing,113
rue,113
nosey,112
squash,112
dread,112
dictator,112
temptation,112
slowed,112
gutter,112
menace,112
begging,112
moody,111
layoff,111
bent,111
messing,110
weakness,110
allergy,109
shortage,109
unwanted,109
lurking,108
stain,108
crushed,108
dull,108
;(,108
hopelessly,107
ironic,107
spoil,107
frown,107
spoiled,107
exploit,107
drought,106
troubled,106
unruly,105
unhappy,105
sticky,105
suffers,105
din,105
grief,104
showdown,104
chilly,104
dusty,104
stern,103
bleeding,103
rubbish,103
destruction,103
coward,103
vicious,102
paranoid,102
oppose,102
midget,102
moron,102
absence,102
threatening,102
forbidden,101
stiff,101
unrest,101
torrent,101
sickness,101
strain,101
