Name,Count
like,49146
good,41398
love,29869
free,27031
win,21580
right,17902
:),17580
great,14790
best,14774
work,13639
well,13392
thank,9071
better,8672
hot,8486
top,7543
happy,6748
nice,5950
cool,5877
sexy,5375
fun,5329
wow,5050
rofl,4924
easy,4453
ready,4359
support,4119
amazing,3862
awesome,3851
pretty,3643
smile,3608
magic,3520
enjoy,3449
enough,3337
fast,3335
beautiful,3257
success,3148
sweet,3122
hug,2907
lead,2839
available,2827
welcome,2811
feat,2766
glad,2762
cute,2754
winner,2474
wonder,2354
super,2263
fine,2253
protect,2210
xd,2155
worth,2136
favorite,2097
perfect,2041
yay,2023
important,1997
incredible,1922
interesting,1761
prize,1753
peace,1742
lucky,1669
gold,1634
hottest,1603
smart,1598
rich,1554
award,1538
luck,1508
improve,1464
trust,1462
benefit,1459
safe,1447
clear,1427
holy,1425
classic,1417
clean,1393
freedom,1383
loved,1358
greatest,1345
fair,1338
excited,1317
beauty,1285
reform,1239
skill,1236
grand,1218
angel,1197
appreciate,1196
strong,1155
wonderful,1154
lovely,1146
promise,1124
faith,1121
fresh,1096
joy,1091
powerful,1031
healthy,1030
hero,1028
champion,1015
positive,970
respect,968
affordable,953
popular,917
led,912
successful,897
excellent,886
famous,880
wisdom,865
gorgeous,863
brave,854
proud,854
pure,837
cheer,831
celebrate,831
tough,827
liked,814
loving,805
boost,799
gain,783
victory,773
honor,762
hilarious,762
winning,759
grin,749
genius,736
recovery,730
warm,729
humor,728
master,716
heaven,715
happiness,703
fav,698
helping,692
pleasure,689
bless,686
grace,672
courage,661
creative,651
quiet,649
woo,647
useful,645
worked,641
talent,638
blessing,636
lover,633
coolest,616
easier,614
calm,614
fantastic,610
shine,605
modern,601
leading,601
saint,593
enjoying,554
favor,546
cure,539
fave,538
whoa,536
helped,535
golden,534
willing,533
proven,532
honest,524
fabulous,521
idol,508
prefer,506
appeal,503
brilliant,496
bonus,495
spiritual,489
smiling,489
friendly,489
enjoyed,479
rapture,475
patient,466
faster,462
praise,462
fame,460
defeat,457
patriot,457
effective,456
unlimited,450
clearly,449
soft,448
passion,444
correct,438
premier,432
supreme,432
advantage,426
bright,425
progress,425
exciting,414
inspiration,410
recommend,409
merry,405
impressive,397
relief,396
delicious,396
boom,395
elite,395
celebration,394
ideal,392
wise,390
ease,386
miracle,360
secure,360
attraction,359
pride,358
lean,354
silent,353
goodness,352
dawn,347
proper,344
protection,343
aspire,339
fancy,338
perseverance,336
solid,334
swift,333
compliment,331
enhance,327
talented,325
confidence,324
glory,321
succeed,319
unconditional,311
supporter,311
authentic,309
adorable,307
charm,306
sharp,305
smooth,302
productive,297
liberty,293
patience,292
grateful,291
reward,282
stunning,282
cheapest,281
comfort,281
luxury,281
kindness,279
recommendation,278
spectacular,277
precious,275
intelligence,275
thankful,271
survivor,270
supporting,267
genuine,266
remedy,265
dedicated,263
afford,262
comfortable,260
fortune,256
unity,255
appreciated,248
congratulation,247
awe,244
promised,243
honored,243
decent,243
darling,242
gem,241
sustainable,240
heal,240
treasure,239
champ,237
romantic,236
chic,235
portable,235
impressed,235
breakthrough,234
ftw,232
variety,230
salute,228
confident,226
advanced,226
advocate,224
intelligent,222
sweetheart,221
recommended,220
improvement,218
inspiring,217
innovation,215
fastest,211
freed,210
astonish,209
magical,208
stronger,208
gratify,208
cleaner,206
improved,204
mighty,204
helpful,203
gratitude,201
trophy,201
outstanding,200
approval,200
worthy,199
entertaining,199
valuable,198
inspire,197
easiest,195
safely,194
successfully,194
hail,190
revolutionary,189
liking,187
mature,187
progressive,186
defender,186
bravo,184
perfectly,184
encourage,183
pleased,183
compassion,183
instantly,181
clever,180
envy,180
glorious,180
rapid,180
peaceful,178
cheaper,177
defeated,177
lucrative,176
mercy,175
classy,175
improving,175
paradise,175
cleared,175
comfy,174
humble,174
delight,173
recover,172
favorited,172
noble,172
hardy,170
marvel,168
greatness,168
satisfied,167
effectively,166
roflmao,166
significant,166
impress,165
regard,163
approve,163
inspirational,163
entertain,162
wealthy,161
smarter,161
superb,161
properly,160
guarantee,159
bargain,158
achievement,158
survival,157
blockbuster,156
peach,156
gained,155
sensitive,155
dominate,155
incredibly,154
redemption,152
appropriate,150
rockstar,150
excitement,150
adore,149
magnificent,148
pleasant,147
ingenious,147
divine,147
harmony,146
finest,146
stylish,146
bliss,146
awarded,145
slick,145
keen,144
faithful,144
commitment,143
dynamic,142
reputation,142
glee,142
poised,141
neat,141
legendary,138
hale,138
amazed,137
hopeful,136
fascinating,135
loyal,135
passionate,133
breeze,133
promoter,133
beloved,132
handy,132
priceless,131
reliable,129
destiny,128
excel,127
accurate,127
solidarity,125
steady,125
celebrated,125
superior,123
revival,122
witty,122
efficient,122
blossom,121
compatible,121
capable,121
happier,120
generous,120
loyalty,119
charming,119
shiny,119
accomplish,118
stable,118
correctly,118
obsession,117
elegant,117
virtue,117
kudos,117
stainless,116
glow,116
lighter,115
perfection,114
qualify,113
prompt,112
extraordinary,111
appealing,110
modest,110
thrill,108
encouraging,108
terrific,108
pardon,107
admire,107
innovative,107
guidance,106
tender,105
gaining,104
gentle,103
optimistic,102
rational,102
supported,102
masterpiece,102
oasis,100
relaxed,100
abundance,99
trump,99
savior,99
enjoys,99
accomplished,98
comprehensive,96
motivated,96
dignity,96
reasonable,95
eager,95
bloom,95
tickle,94
competitive,94
sweeping,94
revive,93
educated,93
revelation,92
enthusiasm,92
sane,92
qualified,91
awesomeness,91
optimism,90
honesty,90
sparkle,90
striking,90
kindly,90
prominent,89
glitter,89
nicest,88
renaissance,88
prosperity,88
fairly,88
favour,87
consistent,87
contribution,86
sensation,86
trendy,86
triumph,85
refresh,85
nicely,85
remarkable,85
refreshing,84
excellence,84
clarity,84
instrumental,84
happily,84
affirmation,83
sustainability,83
jolly,82
influential,82
personalized,82
improves,82
memorable,81
thrilled,80
privilege,80
cozy,79
intimate,79
colorful,79
thoughtful,78
compact,77
upgraded,77
sincerely,77
realistic,75
galore,75
brighter,75
fashionable,73
speedy,73
amusing,73
logical,73
lush,72
balanced,72
proving,72
leverage,72
rejoice,71
simplest,71
restored,70
trusted,70
polite,69
promising,68
tougher,68
flexible,68
nicer,68
quicker,67
sweetness,67
refinement,67
inexpensive,67
strongest,66
warmth,66
delighted,66
fortunate,66
righteous,65
encouragement,65
amazingly,65
gracious,65
beautifully,64
meaningful,64
endorse,64
integrated,64
wisely,64
ethical,63
glamorous,63
crisp,62
constructive,62
gifted,62
endorsement,62
enjoyable,61
precisely,61
affection,61
supportive,61
sleek,61
reclaim,60
renewed,60
savvy,60
groundbreaking,60
sincere,60
stability,59
preferably,59
hooray,59
insightful,58
reassurance,58
stunned,58
posh,58
lively,58
dazzle,57
bravery,57
vibrant,57
engaging,57
transparent,57
openly,57
dominates,56
honoring,56
ambitious,56
endorses,56
profound,56
capability,56
humane,55
stellar,55
awsome,55
enthusiast,55
convenient,55
generosity,54
majestic,54
refund,53
festive,53
humility,53
enthusiastic,53
frugal,53
goodwill,52
fond,52
daring,52
impartial,52
heavenly,52
enhancement,52
abound,52
brighten,51
pep,51
scenic,51
marvelous,51
liberation,50
rewarding,50
consistently,50
sophisticated,50
unbeatable,50
delightful,50
upbeat,50
toughest,50
cherish,50
fearless,50
fiery,49
dominated,49
ingenuity,49
straightforward,49
assure,49
positively,48
renowned,48
elevate,48
satisfy,48
refreshed,48
poetic,48
joyful,47
bolster,47
effectiveness,47
convenience,47
warmer,47
passionately,46
catchy,46
accomplishment,46
endorsed,46
worthwhile,46
morality,46
diplomatic,46
elegance,46
delicate,46
tempting,46
spontaneous,46
empower,46
accessible,45
sparkling,45
courageous,45
geeky,44
thrive,44
complimentary,44
patiently,44
providence,44
truthfully,43
glowing,42
enhanced,42
protective,42
flawless,42
prosper,42
robust,42
sturdy,42
decency,42
thriving,42
timely,41
respectful,41
selective,41
congratulate,41
merit,41
simplify,41
brilliance,41
maturity,41
paramount,41
easing,40
flexibility,40
favored,40
immense,40
surreal,40
amaze,40
splendid,39
striving,39
smartest,39
convincing,39
intriguing,39
humour,39
harmless,38
clearer,38
exceed,38
hallmark,38
enjoyment,37
fairness,37
straighten,37
appreciates,37
victorious,37
applaud,37
unreal,37
well-being,37
seasoned,36
reconciliation,36
praising,36
homage,36
famed,36
gladly,36
adjustable,35
heroic,35
comfortably,35
tidy,35
empathy,35
backbone,35
wonderfully,35
sensible,35
joyous,35
suitable,35
intrigue,34
fidelity,34
richer,34
plush,34
flourish,34
genial,34
distinctive,34
breathtaking,34
thrilling,34
heroine,34
complement,34
brightest,34
tingle,34
exalt,34
enrichment,34
uplifting,34
trumpet,34
abundant,34
pinnacle,33
compassionate,33
foolproof,33
lyrical,33
prestigious,33
versatile,33
prefers,33
feisty,32
visionary,32
prodigy,32
simplified,32
upheld,32
honorable,32
exquisite,32
amuse,31
low-cost,31
trustworthy,31
patriotic,31
calming,31
revel,31
affirmative,31
assurance,31
admirer,30
smoothly,30
flashy,30
invincible,30
prestige,30
saver,30
enlighten,30
booming,30
beneficial,30
cornerstone,30
enchanted,30
charitable,30
heartfelt,30
durable,30
futuristic,30
ovation,29
dazzling,29
eased,29
deserving,29
ecstasy,29
vivid,29
faithfully,29
fortunately,28
relish,28
enhances,28
serene,28
succeeded,28
sensational,28
foremost,28
stimulate,28
seamless,28
enlightenment,28
vouch,28
prosperous,27
thinner,27
covenant,27
carefree,27
polished,27
lavish,27
retractable,27
luckiest,27
sufficient,27
novelty,27
luxurious,27
comforting,27
precise,27
smoother,26
youthful,26
righteousness,26
serenity,26
cooperative,26
simpler,26
undisputed,26
beckons,26
nifty,26
awesomely,25
civility,25
flatter,25
respectable,25
intimacy,25
aspiration,25
mastery,25
regal,25
radiant,25
skilled,25
bullish,25
credible,25
prolific,25
exceeds,25
revives,24
trusting,24
adored,24
eventful,24
desirable,24
admiration,24
dependable,24
reforming,24
warmly,24
roomy,24
distinction,24
