Name,Count
like,10506
love,9588
:),9569
good,7831
right,5620
great,4626
work,4389
better,3915
well,3588
best,3161
thank,2944
nice,2144
happy,2127
awesome,1872
top,1785
cool,1672
baby,1596
fun,1578
kid,1443
welcome,1402
:p,1392
hug,1379
funny,1355
wow,1344
:-),1255
enough,1245
support,1199
sorry,1172
movie,1165
interesting,1054
haha,1048
amazing,1044
enjoy,952
ready,936
miss,926
ya,917
wonder,899
pleasure,843
sweet,775
smile,770
glad,756
success,693
fine,656
safe,648
favorite,638
easy,628
worth,619
beauty,580
lead,575
peace,568
wonderful,546
loved,541
yay,539
important,535
hahaha,534
perfect,527
reform,506
lovely,492
fast,485
wisdom,476
super,457
loving,424
trust,419
luck,417
recommend,412
creative,407
excited,407
excellent,406
clean,395
rich,389
joy,387
freedom,386
strong,379
happiness,364
smart,362
=),360
greatest,350
hero,345
fantastic,335
appreciate,332
clear,331
useful,329
fresh,325
inspiration,319
fair,316
worked,304
prize,304
successful,294
brilliant,290
hilarious,285
gold,284
award,283
magic,280
genius,280
win,278
holy,273
enjoying,268
respect,268
popular,267
positive,267
cheer,266
proud,260
winner,258
liked,254
blessing,249
tough,248
lucky,247
helping,234
easier,232
promise,232
heaven,231
classic,228
benefit,228
angel,226
celebrate,223
enjoyed,222
powerful,219
prefer,217
correct,214
<3,214
incredible,211
faith,211
clearly,210
faster,209
miracle,208
warm,206
honor,203
healthy,202
courage,197
gain,192
master,191
wise,191
gorgeous,190
exciting,185
improve,181
helped,180
famous,177
grand,176
protect,175
bonus,174
talent,173
congratulation,173
bright,171
honest,170
willing,170
victory,169
grateful,164
lover,163
woo,163
modern,162
recommended,162
kindness,161
married,159
progressive,158
delicious,156
inspiring,156
recommendation,155
quiet,154
led,154
stunning,149
leading,148
winning,148
fave,147
rofl,147
skill,145
bless,144
boost,144
progress,144
impressed,143
ftw,142
friendly,141
precious,141
whoa,141
humor,140
pure,140
innovation,139
fav,139
succeed,137
appeal,137
achievement,135
patient,134
favor,133
grace,133
passion,132
calm,131
goodness,131
cure,129
recovery,125
supporter,125
impressive,123
fabulous,120
liberty,120
decent,119
golden,118
praise,118
fancy,117
merry,117
appreciated,117
proper,116
hahahaha,116
dawn,114
fascinating,114
worthwhile,111
hail,111
clever,110
intelligence,109
champion,109
coolest,107
gratitude,106
supporting,106
fortune,105
helpful,104
solid,103
patience,102
saint,102
confidence,102
bloom,102
handy,101
darling,101
productive,100
pleased,100
celebration,99
protection,99
defeat,99
inspirational,98
silent,98
brave,97
neat,97
effective,96
patriot,96
afford,96
shine,95
supreme,94
perfectly,94
delight,93
liking,93
inspire,92
fastest,92
dedicated,91
fame,90
idol,89
boom,89
reward,89
glory,89
secure,88
improved,88
properly,88
advantage,86
revolutionary,86
accessible,85
thankful,85
treasure,84
abundance,83
improvement,83
elite,82
approval,82
shiny,82
upgraded,82
promised,81
poised,81
mighty,79
xd,79
ideal,79
favorited,78
portable,78
reputation,76
appropriate,76
(:,74
nicely,74
gem,74
premier,73
advocate,73
happier,72
advanced,72
noble,72
swift,72
encourage,72
amazed,71
glorious,71
compassion,71
worthy,71
intelligent,70
cheaper,69
magical,69
pride,69
fairly,67
soft,67
comfort,67
breakthrough,67
marvel,67
valuable,67
relief,67
incredibly,66
smiling,66
talented,66
compliment,65
virtue,65
adorable,65
smarter,64
destiny,64
paradise,64
smooth,63
divine,63
feat,63
approve,63
triumph,63
stronger,61
envy,61
capable,60
correctly,59
amusing,58
enthusiasm,58
variety,58
sharp,58
generous,57
trump,57
glee,57
proven,56
spiritual,56
heal,56
obsession,56
luxury,55
influential,55
marry,55
classy,55
lovable,55
terrific,55
supported,54
commitment,54
honored,54
entertaining,54
kudos,53
survivor,53
extraordinary,52
romantic,52
reasonable,52
bliss,51
ease,51
outstanding,51
magnificent,51
admire,51
greatness,50
hottest,50
awe,50
guarantee,50
freed,50
savvy,49
accomplish,49
promising,48
hooray,48
survival,48
excellence,48
efficient,48
recover,48
keen,47
reliable,47
significant,47
surreal,46
successfully,46
bargain,46
passionate,46
dynamic,46
awesomeness,46
endorsement,45
cleared,45
prosperity,45
stable,44
legendary,44
spectacular,44
slick,44
safely,44
pleasant,43
priceless,43
cleaner,43
mercy,43
engaging,43
colorful,43
unlimited,42
stylish,42
peaceful,42
renewed,42
harmony,42
easiest,42
guidance,41
trusted,41
excitement,41
adore,41
thoughtful,41
superior,40
educated,40
beautifully,40
regard,40
improves,40
elegant,40
chic,40
thrilled,40
refresh,40
prompt,40
rapid,40
superb,40
encouraging,39
geeky,39
attraction,39
comfortable,39
compact,38
humble,38
steady,38
perfection,38
finest,38
backbone,38
charm,38
innovative,37
salute,37
accomplished,37
ecstasy,37
amazingly,37
loyal,37
pardon,37
nicer,37
bravo,36
awarded,36
hopeful,36
contribution,36
striking,36
dominate,36
champ,35
entertain,35
dignity,35
lean,35
tempting,35
clarity,35
peach,35
sweetheart,35
refreshing,35
reasonably,35
remedy,35
unity,35
wealthy,34
affirmation,34
fairness,34
genuine,33
sane,33
breeze,33
sincerely,33
openly,33
gentle,33
sustainability,33
excel,33
qualified,32
comfy,32
charming,32
competitive,32
nifty,32
motivated,32
sensitive,32
transparent,31
consistent,31
tender,31
lush,31
endorses,31
beloved,31
glitter,31
meaningful,31
insightful,31
effectively,30
fortunately,30
compatible,30
enhance,30
sustainable,30
consistently,30
flexible,30
sensible,29
enjoys,29
comprehensive,29
smartest,29
proving,29
remarkable,29
delightful,29
kindly,29
precisely,28
eager,28
restored,28
revelation,28
perseverance,28
breathtaking,28
thrive,28
loyalty,28
grin,28
confident,28
defeated,28
integrated,28
cheapest,28
aspire,28
satisfied,28
happily,28
merit,28
instantly,28
accomplishment,28
modest,28
impress,28
sufficient,27
encouragement,27
crisp,27
gracious,27
enjoyable,27
celebrated,27
honesty,27
brilliance,27
glow,27
realistic,27
trophy,27
empower,27
quicker,27
liberation,26
agile,26
refreshed,26
fond,26
prolific,26
improving,26
convenient,26
cornerstone,26
bullish,26
rapture,26
heroine,26
wisely,26
optimistic,26
relaxed,25
cozy,25
revival,25
intuitive,25
unparalleled,25
refund,25
stunned,25
gaining,25
convenience,25
generosity,25
intriguing,25
mature,24
sleek,24
witty,24
capability,24
lighter,24
festive,24
stability,24
astonishing,24
memorable,23
rockstar,23
humour,23
traction,23
faithful,23
uplifting,23
delighted,23
gained,23
reconciliation,23
ethical,23
affordable,23
enhancement,23
patriotic,23
appealing,22
stellar,22
rightly,22
favour,22
assure,22
posh,22
unreal,22
optimism,22
rejoice,21
personalized,21
responsive,21
humility,21
qualify,21
blossom,21
authentic,21
credible,21
applaud,21
blockbuster,21
usable,21
wonderfully,21
enchanted,21
affection,21
gifted,21
heroic,21
positively,21
balanced,21
simpler,21
robust,20
succeeded,20
leverage,20
thrill,20
willingness,20
exceptional,20
splendid,20
suitable,20
privilege,20
exquisite,20
receptive,20
glowing,20
enlightenment,19
strongest,19
marvelous,19
loveliness,19
cashback,19
oasis,19
unconditional,19
protective,19
cherish,19
roflmao,19
prominent,19
honoring,19
enthusiast,18
danke,18
hardy,18
catchy,18
constructive,18
timely,18
empathy,18
hallmark,18
savior,18
clearer,18
endorsed,18
ambitious,18
trendy,18
convincing,18
solidarity,18
endorse,18
polite,18
trusting,18
d:,17
optimal,17
revive,17
simplify,17
promoter,17
sweetness,17
uphold,17
sophisticated,17
enjoyment,17
tougher,17
selective,17
deserving,17
richer,17
rational,17
logical,17
saver,16
futuristic,16
brilliantly,16
immense,16
fearless,16
succeeds,16
profound,16
sparkling,16
fortunate,16
straighten,16
brighter,16
pleasing,16
remarkably,16
defender,16
sparkle,16
=],16
sincere,16
homage,16
sensation,15
spontaneous,15
righteous,15
renowned,15
enthusiastic,15
upbeat,15
supremacy,15
gusto,15
warmth,15
cuteness,15
morality,15
nicest,15
