Name,Count
rt,371021
..,205101
.,194922
u,86288
lol,67965
new,58643
get,52824
like,49146
good,41398
。,34551
time,32045
know,31354
one,30645
love,29869
$,28773
make,28585
need,28540
blog,27739
day,27548
go,27202
、,27082
free,27031
，,26603
twitter,24704
think,23636
got,23030
want,22972
win,21580
see,21100
say,20570
video,19654
back,19416
news,19254
lmao,19190
！,19055
่,18193
right,17902
girl,17726
:),17580
call,17569
post,17537
#iranelection,16759
ั,16659
้,16071
follow,16001
today,15955
people,15801
im,15591
way,15557
ี,15111
thanks,14919
iphone,14873
n,14814
great,14790
best,14774
thing,14613
would,14612
life,14468
look,14366
feel,14307
take,14259
money,14013
oh,13907
help,13892
work,13639
man,13553
w,13511
going,13499
well,13392
tweet,13162
home,13081
still,13040
find,12982
bicurious,12939
r,12847
really,12769
come,12316
ur,12254
world,12130
’,11690
night,11497
yes,11481
job,11412
shit,11337
b,11256
much,11162
show,11101
year,11052
last,11022
2009,10931
#,10855
music,10801
give,10516
–,10475
first,10466
could,10363
ิ,10227
dont,10222
business,10193
game,10173
big,10113
never,9927
ok,9852
online,9803
…,9766
stop,9745
week,9745
even,9732
said,9730
woman,9688
tell,9583
・,9520
detroit,9506
friend,9369
let,9279
？,9254
use,9251
watch,9240
san,9185
keep,9172
thank,9071
@,9025
always,9007
live,8850
์,8805
better,8672
guy,8654
real,8544
hot,8486
morning,8445
hope,8415
open,8396
as,8160
check,8104
follower,8064
):,8063
sale,7839
away,7781
please,7745
bad,7701
app,7591
top,7543
playing,7528
：,7520
haha,7508
every,7489
yeah,7463
de,7452
two,7422
ya,7407
hey,7396
question,7395
problem,7373
x,7318
child,7270
car,7237
updated,7186
movie,7170
start,7163
thought,7098
sure,7061
next,7019
francisco,7014
+,6969
damn,6954
kid,6944
name,6903
pm,6861
smoking,6856
la,6848
gonna,6836
put,6797
happy,6748
play,6729
website,6689
#flash,6683
mean,6660
try,6657
:/,6654
fuck,6652
must,6647
may,6621
wanna,6585
around,6567
hit,6564
ever,6546
internet,6530
pic,6528
smh,6516
site,6515
tonight,6509
long,6491
song,6434
getting,6412
change,6399
web,6395
c,6373
talk,6361
bradfordtweets,6336
;),6332
made,6302
word,6293
pizda,6267
read,6236
something,6203
many,6179
da,6176
house,6121
city,6098
silly,6089
<-,6081
little,5995
obama,5983
v,5959
nice,5950
sex,5911
old,5910
“,5903
cool,5877
end,5873
baby,5859
cuz,5850
software,5804
:-),5802
nigga,5800
（,5777
health,5725
em,5724
party,5718
florida,5710
school,5636
sleep,5631
ca,5608
part,5595
update,5576
wit,5557
»,5544
hate,5512
pussy,5498
miss,5495
phone,5456
sell,5455
another,5449
everyone,5444
head,5441
#ff,5420
care,5405
network,5390
sexy,5375
god,5354
photo,5352
fun,5329
someone,5321
run,5317
face,5302
hard,5301
black,5292
）,5290
hollywood,5289
houston,5274
marlin,5266
100,5263
month,5258
looking,5256
bitch,5245
asheville,5244
family,5235
traffic,5231
enter,5197
buy,5193
fan,5186
ppl,5169
making,5137
e,5136
「,5125
marketing,5115
wait,5107
”,5102
http://bit.ly/105fmv,5092
social,5083
wow,5050
♫,5048
wrote,5035
gotta,4995
team,4993
lot,4988
hashtag,4968
boy,4930
rofl,4924
he's,4892
bradford,4879
funny,4873
inbound,4865
outbounds,4839
in-progress,4839
—,4819
bout,4812
state,4806
red,4802
quit,4801
done,4798
book,4795
cnen,4754
plan,4753
visit,4752
chance,4749
hcm,4747
green,4743
white,4740
tv,4724
eye,4723
:d,4721
place,4712
lmfao,4699
mind,4669
30,4669
yo,4667
sorry,4653
hour,4647
used,4638
idea,4609
friday,4605
story,4601
photography.alltop,4588
dat,4577
#fb,4575
20,4573
wish,4565
ุ,4559
com,4536
ask,4534
heard,4534
ื,4524
system,4522
true,4511
lady,4511
f,4498
set,4482
might,4478
medium,4474
without,4468
tip,4465
บ,4458
easy,4453
」,4447
already,4436
food,4422
omg,4415
soon,4411
tomorrow,4410
aint,4377
ready,4359
product,4333
junction,4332
giving,4320
michael,4318
california,4316
yet,4316
star,4310
google,4304
everything,4304
coming,4297
bi,4277
save,4272
using,4266
report,4259
found,4253
bed,4252
hi,4251
trying,4247
high,4243
also,4237
producer,4236
market,4234
yall,4229
hell,4228
since,4212
dream,4206
pick,4192
minute,4173
learn,4173
ก,4169
link,4145
thats,4141
sign,4125
support,4119
hear,4110
stuff,4100
believe,4064
watching,4057
heart,4053
review,4038
le,4037
power,4034
left,4032
computer,4026
maybe,4024
dead,4013
nothing,4013
rfol,4001
club,3984
:(,3971
hand,3968
person,3958
anyone,3948
went,3939
card,3938
following,3928
rock,3904
vote,3894
stay,3888
<--,3870
cause,3869
ู,3866
amazing,3862
police,3859
seen,3852
awesome,3851
what's,3841
gift,3836
turn,3826
iran,3823
flash,3819
cant,3816
anything,3808
crazy,3805
remember,3805
beat,3796
sound,3789
tho,3787
page,3776
ha,3762
saw,3748
attention,3747
told,3731
meet,3727
fall,3725
secret,3683
celebs,3676
dude,3663
store,3659
list,3651
guess,3650
pretty,3643
eat,3636
event,3633
ramadan,3622
fire,3621
－,3621
join,3611
smile,3608
sport,3607
service,3586
:p,3579
though,3559
p,3557
death,3555
radio,3554
deal,3540
yea,3533
lost,3530
moar,3525
magic,3520
heavy,3513
let's,3513
mad,3499
men,3497
bill,3495
american,3487
point,3465
color,3462
company,3452
design,3452
enjoy,3449
sonic,3439
email,3406
wrong,3405
facebook,3401
football,3396
#iran,3392
::,3385
thinking,3385
lil,3379
early,3375
weekend,3374
full,3373
jackson,3371
pay,3368
enough,3337
fast,3335
picture,3331
president,3328
bid,3328
cash,3326
_,3316
hair,3309
bán,3289
dog,3266
15,3258
beautiful,3257
david,3257
daily,3255
#militarymon,3252
actually,3251
season,3239
working,3237
ipod,3235
shot,3230
dress,3221
mom,3213
jus,3204
course,3199
body,3195
dating,3191
send,3178
group,3171
#travel,3160
leg,3159
richard,3150
success,3148
